Series Code,Topic,Dataset,Indicator Name,Short definition,Long definition,Periodicity,Base Period,Aggregation method,General comments,Source
DT.CUR.OTHC.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, all other currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in all other currencies not specified for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in all other currencies not specified for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.DMAK.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, Deutsche mark (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Deutsche marks for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Deutsche marks for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.EURO.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, Euro (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Euros for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Euros for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.FFRC.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, French franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in French francs for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in French francs for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.JYEN.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, Japanese yen (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Japanese yen for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Japanese yen for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.MULC.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, Multiple currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in multiple currencies for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in multiple currencies for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.UKPS.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, Pound sterling (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.K. pound sterling for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in U.K. pound sterling for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.SDRW.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, SDR (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in special drawing rights for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in special drawing rights for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.SWFR.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, Swiss franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Swiss francs for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Swiss francs for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.CUR.USDL.ZS,Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,"Currency composition of PPG debt, U.S. dollars (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.S. dollars for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in U.S. dollars for the low- and middle-income countries.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.DOD.ALLC.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, concessional (DOD, current US$)","Concessional external debt conveys information about the borrower's receipt of aid from official lenders at concessional terms as defined by the Development Assistance Committee (DAC) of the OECD. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Loans from major regional development banks--African Development Bank, Asian Development Bank, and the Inter-American Development Bank--and from the World Bank are classified as concessional according to each institution's classification and not according to the DAC definition, as was the practice in earlier reports. Long-term debt outstanding and disbursed is the total outstanding long-term debt at year end. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars.","Concessional external debt conveys information about the borrower's receipt of aid from official lenders at concessional terms as defined by the Development Assistance Committee (DAC) of the OECD. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Loans from major regional development banks--African Development Bank, Asian Development Bank, and the Inter-American Development Bank--and from the World Bank are classified as concessional according to each institution's classification and not according to the DAC definition, as was the practice in earlier reports. Long-term debt outstanding and disbursed is the total outstanding long-term debt at year end. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.DLXF.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, long-term (DOD, current US$)","Long-term debt is debt that has an original or extended maturity of more than one year. It has three components: public, publicly guaranteed, and private nonguaranteed debt. Data are in current U.S. dollars.","Long-term debt is debt that has an original or extended maturity of more than one year. It has three components: public, publicly guaranteed, and private nonguaranteed debt. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PRVS.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, long-term private sector (DOD, current US$)","Long-term private sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (private banks and private entities). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Long-term private sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (private banks and private entities). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PUBS.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, long-term public sector (DOD, current US$)","Long-term public sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (central government, state and local government, central bank, public and mixed enterprises, and official development banks). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Long-term public sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (central government, state and local government, central bank, public and mixed enterprises, and official development banks). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.DPNG.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",Private nonguaranteed external debt comprises long-term external obligations of private debtors that are not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Private nonguaranteed external debt comprises long-term external obligations of private debtors that are not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.DPPG.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","Public and publicly guaranteed debt comprises long-term external obligations of public debtors, including the national government, political subdivisions (or an agency of either), and autonomous public bodies, and external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.","Public and publicly guaranteed debt comprises long-term external obligations of public debtors, including the national government, political subdivisions (or an agency of either), and autonomous public bodies, and external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.DSTC.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, short-term (DOD, current US$)",Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.,Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.,Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.DECT.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, total (DOD, current US$)","Total external debt is debt owed to nonresidents repayable in currency, goods, or services. It is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, short-term debt, and use of IMF credit. Data are in current U.S. dollars.","Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.VTOT.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"External debt stocks, variable rate (DOD, current US$)","Variable interest rate is long-term external debt with interest rates that float with movements in a key market rate; for example, the London interbank offered rate (LIBOR) or the U.S. prime rate. This item conveys information about the borrower's exposure to changes in international interest rates. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Variable interest rate is long-term external debt with interest rates that float with movements in a key market rate; for example, the London interbank offered rate (LIBOR) or the U.S. prime rate. This item conveys information about the borrower's exposure to changes in international interest rates. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PNGB.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PNG, bonds (DOD, current US$)",Nonguaranteed long-term debt from bonds that are privately placed. Private nonguaranteed long-term debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Nonguaranteed long-term debt from bonds that are privately placed. Private nonguaranteed long-term debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PNGC.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PNG, commercial banks and other creditors (DOD, current US$)",Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Private nonguaranteed long-term debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Private nonguaranteed long-term debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.BLAT.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, bilateral (DOD, current US$)","Public and publicly guaranteed bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","Public and publicly guaranteed bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.BLTC.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, bilateral concessional (DOD, current US$)","Public and publicly guaranteed bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.","Public and publicly guaranteed bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PBND.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, bonds (DOD, current US$)",Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PCBK.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, commercial banks (DOD, current US$)",Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.MIBR.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, IBRD (DOD, current US$)",Public and publicly guaranteed debt outstanding from the International Bank for Reconstruction and Development (IBRD) is nonconcessional. Nonconcessional debt excludes loans with an original grant element of 25 percent or more. Data are in current U.S. dollars.,Public and publicly guaranteed debt outstanding from the International Bank for Reconstruction and Development (IBRD) is nonconcessional. Nonconcessional debt excludes loans with an original grant element of 25 percent or more. Data are in current U.S. dollars.,Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.MIDA.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, IDA (DOD, current US$)","Public and publicly guaranteed debt outstanding from the International Development Association (IDA) is concessional. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.","Public and publicly guaranteed debt outstanding from the International Development Association (IDA) is concessional. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.MLAT.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, multilateral (DOD, current US$)","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Data are in current U.S. dollars.","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.MLTC.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, multilateral concessional (DOD, current US$)","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.OFFT.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, official creditors (DOD, current US$)","Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PROP.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, other private creditors (DOD, current US$)","Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PRVT.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"PPG, private creditors (DOD, current US$)","Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.PVLX.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,Present value of external debt (current US$),"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. Data are in current U.S. dollars.","Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.DIMF.CD,Economic Policy & Debt: External debt: Debt outstanding,International Debt Statistics,"Use of IMF credit (DOD, current US$)","Use of IMF credit denotes members’ drawings on the IMF other than amounts drawn against the country’s reserve tranche position. Use of IMF credit includes purchases and drawings under Stand-By, Extended, Structural Adjustment, Enhanced Structural Adjustment, and Systemic Transformation Facility Arrangements as well as Trust Fund loans. SDR allocations are also included in this category.","Use of IMF Credit: Data related to the operations of the IMF are provided by the IMF Treasurer’s Department. They are converted from special drawing rights into dollars using end-of-period exchange rates for stocks and average-over-the-period exchange rates for flows. IMF trust fund operations under the Enhanced Structural Adjustment Facility, Extended Fund Facility, Poverty Reduction and Growth Facility, and Structural Adjustment Facility (Enhanced Structural Adjustment Facility in 1999) are presented together with all of the IMF’s special facilities (buffer stock, supplemental reserve, compensatory and contingency facilities, oil facilities, and other facilities). SDR allocations are also included in this category. According to the BPM6, SDR allocations are recorded as the incurrence of a debt liability of the member receiving them (because of a requirement to repay the allocation in certain circumstances, and also because interest accrues). This debt item is introduced for the first time this year with historical data starting in 1999.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.DOD.ALLC.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,Concessional debt (% of total external debt),Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 25 percent or more.,Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 25 percent or more.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.DOD.DECT.EX.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,"External debt stocks (% of exports of goods, services and primary income)","Total external debt stocks to exports of goods, services and primary income.","Total external debt stocks to exports of goods, services and primary income.",Annual,,Weighted average,The denominator for this indicator in previous versions of Global Development Finance included workers' remittances. Workers' remittances are no longer included.,"World Bank, International Debt Statistics."
DT.DOD.DECT.GN.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,External debt stocks (% of GNI),Total external debt stocks to gross national income.,"Total external debt stocks to gross national income. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad.",Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.INT.DECT.EX.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,"Interest payments on external debt (% of exports of goods, services and primary income)","Total interest payments to exports of goods, services and primary income. Total interest payment is the sum of interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and charges to the IMF.","Total interest payments to exports of goods, services and primary income. Total interest payment is the sum of interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and charges to the IMF.",Annual,,Weighted average,The denominator for this indicator in previous versions of Global Development Finance included workers' remittances. Workers' remittances are no longer included.,"World Bank, International Debt Statistics."
DT.INT.DECT.GN.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,Interest payments on external debt (% of GNI),Total interest payments to gross national income.,Total interest payments to gross national income.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.DOD.MLAT.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,Multilateral debt (% of total external debt),Multilateral debt to total external debt stocks.,Multilateral debt to total external debt stocks.,Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.DOD.DSTC.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,Short-term debt (% of total external debt),"Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. ","Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. ",Annual,,Weighted average,,"World Bank, International Debt Statistics."
DT.TDS.DECT.EX.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,"Total debt service (% of exports of goods, services and primary income)","Total debt service to exports of goods, services and primary income. Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF.","Total debt service to exports of goods, services and primary income. Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF.",Annual,,Weighted average,The denominator for this indicator in previous versions of Global Development Finance included workers' remittances. Workers' remittances are no longer included.,"World Bank, International Debt Statistics."
DT.TDS.DLXF.CD,Economic Policy & Debt: External debt: Debt service,International Debt Statistics,"Debt service on external debt, long-term (TDS, current US$)","Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.TDS.DPNG.CD,Economic Policy & Debt: External debt: Debt service,International Debt Statistics,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)","Private nonguaranteed debt service is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Private nonguaranteed debt service is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.TDS.DPPG.CD,Economic Policy & Debt: External debt: Debt service,International Debt Statistics,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","Public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.","Public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.TDS.DECT.CD,Economic Policy & Debt: External debt: Debt service,International Debt Statistics,"Debt service on external debt, total (TDS, current US$)","Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF. Data are in current U.S. dollars.","Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
DT.TDS.DIMF.CD,Economic Policy & Debt: External debt: Debt service,International Debt Statistics,"IMF repurchases and charges (TDS, current US$)","IMF repurchases are total repayments of outstanding drawings from the General Resources Account during the year specified, excluding repayments due in the reserve tranche. IMF charges cover interest payments with respect to all uses of IMF resources, excluding those resulting from drawings in the reserve tranche. Data are in current U.S. dollars.","IMF repurchases are total repayments of outstanding drawings from the General Resources Account during the year specified, excluding repayments due in the reserve tranche. IMF charges cover interest payments with respect to all uses of IMF resources, excluding those resulting from drawings in the reserve tranche. Data are in current U.S. dollars.",Annual,,Sum,,"World Bank, International Debt Statistics."
